name;sku;ean;slug;available;shopUrl
Sitzpolster WagonPro;SP-WP-0;;sitzpolster-wagonpro;false;https://elvent.shop/product/sitzpolster-wagonpro/SP-WP-0
SmartCruiser City;SC-ST-0;;smartcruiser-city;false;https://elvent.shop/product/smartcruiser-city/SC-ST-0
SmartCruiser City B-Ware;SC-ST-BLACK(B);;smartcruiser-city-b-ware;false;https://elvent.shop/product/smartcruiser-city-b-ware/SC-ST-BLACK(B)
SmartCruiser Premium;SC-PR-0;;smartcruiser-premium;false;https://elvent.shop/product/smartcruiser-premium/SC-PR-0
SmartCruiser Premium B-Ware;SC-PR-BLACK(B);;smartcruiser-premium-b-ware;false;https://elvent.shop/product/smartcruiser-premium-b-ware/SC-PR-BLACK(B)
Smartphonehalter Premium;BW-SH-1;4260706042162;smartphonehalter-premium;true;https://elvent.shop/product/smartphonehalter-premium/BW-SH-1
Snackbar ComfortPlus 2;CP-SB-2;4260706040779;snackbar-comfortplus-2;true;https://elvent.shop/product/snackbar-comfortplus-2/CP-SB-2
Snackbar ComfortPlus 4;CP-SB-4;4260706040519;snackbar-comfortplus-4;true;https://elvent.shop/product/snackbar-comfortplus-4/CP-SB-4
Snacktasche ComfortPlus;CP-ST-0;4260706040885;snacktasche-comfortplus;true;https://elvent.shop/product/snacktasche-comfortplus/CP-ST-0
Ständer für Federwiege;LB-GS-0;;staender-fuer-federwiege;false;https://elvent.shop/product/staender-fuer-federwiege/LB-GS-0
Ständer Tripod für Federwiege;LB-TP-0;4260706043732;staender-tripod-fuer-federwiege;true;https://elvent.shop/product/staender-tripod-fuer-federwiege/LB-TP-0
Teleskopstange für Dachhalterung;BW-TS-0;4260706040168;teleskopstange-fuer-dachhalterung;true;https://elvent.shop/product/teleskopstange-fuer-dachhalterung/BW-TS-0
Vorderrad City-Modelle;BW-VR-0;4260706040199;vorderrad-city-modelle;true;https://elvent.shop/product/vorderrad-city-modelle/BW-VR-0
WagonPro City;WP-ST-0;;wagonpro-city;false;https://elvent.shop/product/wagonpro-city/WP-ST-0
WagonPro City B-Ware;WP-ST-BLACK(B);;wagonpro-city-b-ware;false;https://elvent.shop/product/wagonpro-city-b-ware/WP-ST-BLACK(B)
WagonPro Premium;WP-PR-0;;wagonpro-premium;false;https://elvent.shop/product/wagonpro-premium/WP-PR-0
WagonPro Premium B-Ware;WP-PR-BLACK(B);;wagonpro-premium-b-ware;false;https://elvent.shop/product/wagonpro-premium-b-ware/WP-PR-BLACK(B)
Zugstange – Normallänge;BW-ZS-NL;4260706040373;zugstange-normallaenge;false;https://elvent.shop/product/zugstange-normallaenge/BW-ZS-NL
Zugstange – Normallänge (mit Bolzen);BW-ZS-MB;4260706043725;zugstange-normallaenge-mit-bolzen;true;https://elvent.shop/product/zugstange-normallaenge-mit-bolzen/BW-ZS-MB
Zugstange Schraubenset;BW-ZS-S;4260706041271;zugstange-schraubenset;true;https://elvent.shop/product/zugstange-schraubenset/BW-ZS-S
